text_id,text,mood
1,My dog of 12 years is gone 😭❤️,sadness
2,Woke the whole building at 3am again 😤💢,anger
3,Surprise party was absolutely perfect 🎂😊,joy
4,Data got leaked and nobody is accountable 😡,anger
5,Train cancelled but no refund available 😡🚂,anger
6,Stranger returned wallet with everything inside 😲💰,surprise
7,He groped her and laughed it off 🤮😡,disgust
8,Job could be automated away very soon 😰💼,fear
9,Selling expired medicine in poor countries 🤮😡,disgust
10,Lost my job today without warning 😞💔,sadness
11,Walking home alone at midnight tonight 😱,fear
12,My cold case complaint just got reopened 😲,surprise
13,Ran into my best friend unexpectedly 😊🤗,joy
14,The letter I wrote never got a reply 😔💔,sadness
15,Hired externally for a role I was promised 😡,anger
16,Panic attack starting and I am in public 😰💓,fear
17,Family reunion was the best thing ever 👨‍👩‍👧💛,joy
18,Alone in the house and heard something upstairs 😰🌑,fear
19,A company I invested in just IPO-ed 🤯💸,surprise
20,Company dumps waste directly into the river 🤮😡,disgust
21,Interview for dream job in 10 minutes 😰,fear
22,Totally forgot it was my birthday today 😲🎂,surprise
23,Therapy is not working and I feel hopeless 😞,sadness
24,Earthquake warning just came through 😱⚠️,fear
25,Background check might reveal something bad 😰,fear
26,Deepfake used to destroy her reputation 😒🤮,disgust
27,Landlord still not fixed anything after 6 weeks 😤💢,anger
28,Children used as shields called heroes 🤢😡,disgust
29,That influencer is the most fake person 😒🤮,disgust
30,Complaint has been open for two months 😠🤬,anger
31,My tweet went viral overnight 😲📱,surprise
32,Missing home so much it physically hurts 😔🏠,sadness
33,Friends all moving forward without me 😞,sadness
34,Used cigarette in my freshly served dessert 🤢😖,disgust
35,Finally got my dream job offer 💼🎉,joy
36,That comment about refugees made me sick 🤢,disgust
37,Exam was nothing like what we were told 😤😡,anger
38,My garden is blooming beautifully 🌸🌼,joy
39,Corruption exposed in report is nauseating 🤮😒,disgust
40,Hard work was never once acknowledged 😤,anger
41,Standing on the roof of a 40 storey building 😱🏙️,fear
42,Finished my marathon in under 4 hours 🏃💪,joy
43,Gaslighting your partner for years is vile 😒🤢,disgust
