text_id,text,mood
1,Beautiful sunset today 🌅😊,joy
2,Wasn't expecting that at ALL 😮🤯,surprise
3,Rain in the middle of summer 😮🌧️,surprise
4,Found a bug in my salad 🤢😱,disgust
5,Celebrity liked my tweet 😳✨,surprise
6,Homesick every single day 🏠😔,sadness
7,They remembered my order from 2 years ago 😮,surprise
8,Package delivered 3 weeks early 😲📦,surprise
9,Boss cancelled all meetings this week 😲,surprise
10,Watching them eat with their mouth open 🤢😖,disgust
11,Can't believe what he just said 🤬,anger
12,Heights absolutely terrify me 😱🏔️,fear
13,This news is actually shocking 😳,surprise
14,Failed my driving test again 😞,sadness
15,Road trip with bestie 🚗🎵😄,joy
16,"Interview in 10 minutes, shaking 😨🫨",fear
17,My ex called out of nowhere 😳📞,surprise
18,She said yes!! 😳💍,surprise
19,Why do people have no manners 😡,anger
20,Doctor found something on the scan 😨😰,fear
21,Aced my exam 📚😄✨,joy
22,Flying for the first time tomorrow 😰✈️,fear
23,Flash sale dropped 90% off 😲🛒,surprise
24,Clickbait headlines make me sick 🤮😒,disgust
25,Surprise birthday party was amazing 🎂😊,joy
26,Best day ever!! 😁✨,joy
27,Blood test results coming tomorrow 😰🩸,fear
28,Alone in the house this week 😨🏠,fear
29,Rainy days make me sad 🌧️😔,sadness
30,Wait WHAT just happened 😲🤯,surprise
31,Didn't get the job I wanted 😞,sadness
32,Deadlines keep getting moved 😤💢,anger
33,How dare they cancel my order!! 😠,anger
34,Interrupted during my presentation again 😠,anger
35,Something feels wrong can't explain it 😰,fear
36,All my friends are moving away 😔,sadness
37,Thunder and lightning all night 😱⚡,fear
38,Nobody showed up to my birthday 😢🎂,sadness
39,Waiting for my biopsy results 😰😨,fear
40,Miss the way things used to be 😢,sadness
41,That comment was completely uncalled for 😡,anger
42,Stuck in a toxic environment 😤😠,anger
43,Heart is racing for no reason 😨💓,fear
44,Feeling so lonely lately 😔,sadness
45,Heard something outside at midnight 😱🌑,fear
46,Haven't heard from him all day 😨,fear
47,My dog passed away today 💔😭,sadness
48,I'm so done with this traffic 😤🚗,anger
49,Found my lost ring after 5 years 😮💍,surprise
50,Greed is actually nauseating 😒🤢,disgust
51,Long distance is so hard 😢,sadness
52,Got into my dream college!! 🎊😁,joy
53,Wasted 2 hours fixing their mistake 😡,anger
54,Totally blindsided by that decision 🤯😮,surprise
55,Cooked my favourite meal perfectly 🍝😄,joy
56,Cheated out of my money 😤😠,anger
57,"Shameless, absolutely shameless 😒🤮",disgust
58,People who litter make me furious 😡🗑️,anger
59,Finally finished my project 🙌😄,joy
60,Hypocrites everywhere I look 😒🤮,disgust
61,Car made a weird noise on highway 😱🚗,fear
62,Big exam in 8 hours and I'm not ready 😰📚,fear
63,"End of an era, it's over 😔💔",sadness
64,Disrespected in my own house 😤💢,anger
65,Everything feels pointless rn 😞💔,sadness
66,Weekend trip was absolutely perfect 🏖️😍,joy
67,What if I mess everything up 😨,fear
68,Wedding was magical ✨💍😍,joy
69,Unbelievable level of incompetence 🤬😤,anger
70,New personal record at the gym 💪😄,joy
71,Can't stop crying for no reason 😭,sadness
72,They lied straight to my face 😡🤬,anger
73,3 hours waiting and nothing 😠⏰,anger
74,Got a raise today 💰🎉😊,joy
75,This injustice makes my blood boil 😡✊,anger
76,Can't believe people behave like that 🤮😒,disgust
77,That influencer content is so fake 😒🤮,disgust
78,Mistreatment of animals makes me sick 🤢💔,disgust
79,This food tastes absolutely terrible 🤢😖,disgust
80,Reunion with old friends 🥂😃,joy
81,Found $100 in my old jacket 😲💵,surprise
82,My internet keeps cutting out 😤💢,anger
83,That scene in the movie was so gross 🤢😫,disgust
84,Missing my family so much 😢💔,sadness
85,I just got promoted 😊🎉,joy
86,This level of dishonesty disgusts me 😒,disgust
87,How is this even legal 😒🤢,disgust
88,No accountability whatsoever 😠💢,anger
89,Can't scroll through this anymore 🤮,disgust
90,Someone took credit for my work 😠🤬,anger
91,Corruption at every single level 😒🤢,disgust
92,My flight got upgraded to business 😲✈️,surprise
93,They offered me double the salary 😲💰,surprise
94,Unexpected bonus in my paycheck 😲💸,surprise
95,Another rejection email 😞💔,sadness
96,Job security feels so uncertain 😰💼,fear
97,The smell in that place was unbearable 🤢,disgust
98,Worst case scenarios keep playing in my head 😱,fear
99,Pandemic numbers rising again 😰😨,fear
100,Lost a close friend today 💔😢,sadness
101,Goodbye is never easy 😭💔,sadness
102,Mold in my food from the restaurant 🤮😡,disgust
103,The state of public toilets 🤢😖,disgust
104,Feeling so grateful today 🥰💛,joy
105,Broken promises again and again 😡💔,anger
106,Strange message from an unknown number 😰📱,fear
107,My team won the match 🏆⚽😁,joy
108,Presenting to 500 people tomorrow 😰🎤,fear
109,Garbage everywhere in the park 🤢🗑️,disgust
110,Ran into my childhood friend today 😮,surprise
111,Laughing so hard I'm crying 😂🤣,joy
112,Exploitation masked as opportunity 🤮😒,disgust
113,First day at new job went great 💼😊,joy
114,Feeling empty inside lately 😞😶,sadness
115,Breakup hit different at 3am 💔😭,sadness
116,Movie made me sob uncontrollably 😭🎬,sadness
117,"Got selected out of 10,000 applicants 🤯🎉",surprise
118,Hanging out with friends tonight 😃🥳,joy
119,Just adopted a puppy 🐶❤️😊,joy
120,Plot twist I did NOT see coming 😮,surprise
